index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00999184,2059,0.00627944
1,10,1,0.0199837,2060,0.00680272
2,11,0,0.0299755,2059,0.00627944
3,11,1,0.0399674,2060,0.00680272
4,13,0,0.0499592,2058,0.00575615
5,14,0,0.0599511,2064,0.00889587
6,15,0,0.0699429,2062,0.00784929
7,16,0,0.0799347,2063,0.00837258
8,17,0,0.0899266,2063,0.00837258
9,18,0,0.0999184,2060,0.00680272
10,19,0,0.10991,2061,0.00732601
11,20,0,0.119902,2061,0.00732601
12,21,0,0.129894,2063,0.00837258
13,22,0,0.139886,2062,0.00784929
14,23,0,0.149878,2061,0.00732601
15,24,0,0.159869,2061,0.00732601
16,25,0,0.169861,2061,0.00732601
17,26,0,0.179853,2060,0.00680272
18,27,0,0.189845,2063,0.00837258
19,28,0,0.199837,2060,0.00680272
20,29,0,0.209829,2063,0.00837258
21,30,0,0.219821,2061,0.00732601
22,31,0,0.229812,2062,0.00784929
23,32,0,0.239804,2060,0.00680272
24,33,0,0.249796,2060,0.00680272
25,34,0,0.259788,2063,0.00837258
26,35,0,0.26978,2060,0.00680272
27,36,0,0.279772,2060,0.00680272
28,37,0,0.289763,2061,0.00732601
29,38,0,0.299755,2063,0.00837258
30,39,0,0.309747,2061,0.00732601
31,40,0,0.319739,2060,0.00680272
32,41,0,0.329731,2061,0.00732601
33,42,0,0.339723,2061,0.00732601
34,43,0,0.349715,2065,0.00941915
35,44,0,0.359706,2061,0.00732601
36,45,0,0.369698,2061,0.00732601
37,46,0,0.37969,2061,0.00732601
38,47,0,0.389682,2061,0.00732601
39,48,0,0.399674,2065,0.00941915
40,49,0,0.409666,2061,0.00732601
41,50,0,0.419657,2061,0.00732601
42,51,0,0.429649,2060,0.00680272
43,52,0,0.439641,2061,0.00732601
44,53,0,0.449633,2063,0.00837258
45,54,0,0.459625,2061,0.00732601
46,55,0,0.469617,2062,0.00784929
47,56,0,0.479608,2064,0.00889587
48,57,0,0.4896,2060,0.00680272
49,58,0,0.499592,2060,0.00680272
50,59,0,0.509584,2062,0.00784929
51,60,0,0.519576,2061,0.00732601
52,61,0,0.529568,2062,0.00784929
53,62,0,0.53956,2061,0.00732601
54,63,0,0.549551,2063,0.00837258
55,64,0,0.559543,2061,0.00732601
56,65,0,0.569535,2062,0.00784929
57,66,0,0.579527,2064,0.00889587
58,67,0,0.589519,2060,0.00680272
59,68,0,0.599511,2062,0.00784929
60,69,0,0.609502,2061,0.00732601
61,70,0,0.619494,2060,0.00680272
62,71,0,0.629486,2060,0.00680272
63,72,0,0.639478,2059,0.00627944
64,73,0,0.64947,2062,0.00784929
65,74,0,0.659462,2063,0.00837258
66,75,0,0.669454,2062,0.00784929
67,76,0,0.679445,2063,0.00837258
68,77,0,0.689437,2061,0.00732601
69,78,0,0.699429,2061,0.00732601
70,79,0,0.709421,2060,0.00680272
71,80,0,0.719413,2061,0.00732601
72,81,0,0.729405,2059,0.00627944
73,82,0,0.739396,2062,0.00784929
74,83,0,0.749388,2060,0.00680272
75,84,0,0.75938,2062,0.00784929
76,85,0,0.769372,2063,0.00837258
77,86,0,0.779364,2063,0.00837258
78,87,0,0.789356,2061,0.00732601
79,88,0,0.799347,2062,0.00784929
80,89,0,0.809339,2061,0.00732601
81,90,0,0.819331,2061,0.00732601
82,91,0,0.829323,2059,0.00627944
83,92,0,0.839315,2059,0.00627944
84,93,0,0.849307,2056,0.00470958
85,94,0,0.859299,2054,0.003663
86,95,0,0.86929,2052,0.00261643
87,96,0,0.879282,2055,0.00418629
88,97,0,0.889274,2074,0.0141287
89,98,0,0.899266,2111,0.0334903
90,99,0,0.909258,2165,0.0617478
91,100,0,0.91925,2222,0.0915751
92,101,0,0.929241,2252,0.107274
93,102,0,0.939233,2244,0.103087
94,103,0,0.949225,2174,0.0664574
95,104,0,0.959217,2117,0.03663
96,105,0,0.969209,2081,0.0177917
97,106,0,0.979201,2051,0.00209314
98,107,0,0.989192,2039,-0.00418629
99,108,0,0.999184,2041,-0.00313972
100,109,0,1.00918,2039,-0.00418629
101,110,0,1.01917,2025,-0.0115123
102,111,0,1.02916,2000,-0.0245945
103,112,0,1.03915,1976,-0.0371533
104,113,0,1.04914,1951,-0.0502355
105,114,0,1.05914,1932,-0.0601779
106,115,0,1.06913,1927,-0.0627944
107,116,0,1.07912,1938,-0.0570382
