index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00999106,0,0
1,10,1,0.0199821,0,0
2,11,0,0.0299732,0,0
3,11,1,0.0399643,0,0
4,13,0,0.0499553,0,0
5,14,0,0.0599464,0,0
6,15,0,0.0699374,0,0
7,16,0,0.0799285,0,0
8,17,0,0.0899196,0,0
9,18,0,0.0999106,0,0
10,19,0,0.109902,0,0
11,20,0,0.119893,0,0
12,21,0,0.129884,0,0
13,22,0,0.139875,0,0
14,23,0,0.149866,0,0
15,24,0,0.159857,0,0
16,25,0,0.169848,0,0
17,26,0,0.179839,0,0
18,27,0,0.18983,0,0
19,28,0,0.199821,0,0
20,29,0,0.209812,0,0
21,30,0,0.219803,0,0
22,31,0,0.229794,0,0
23,32,0,0.239786,0,0
24,33,0,0.249777,0,0
25,34,0,0.259768,0,0
26,35,0,0.269759,0,0
27,36,0,0.27975,0,0
28,37,0,0.289741,0,0
29,38,0,0.299732,0,0
30,39,0,0.309723,0,0
31,40,0,0.319714,0,0
32,41,0,0.329705,0,0
33,42,0,0.339696,0,0
34,43,0,0.349687,0,0
35,44,0,0.359678,0,0
36,45,0,0.369669,0,0
37,46,0,0.37966,0,0
38,47,0,0.389651,0,0
39,48,0,0.399643,0,0
40,49,0,0.409634,0,0
41,50,0,0.419625,0,0
42,51,0,0.429616,0,0
43,52,0,0.439607,0,0
44,53,0,0.449598,0,0
45,54,0,0.459589,0,0
46,55,0,0.46958,0,0
47,56,0,0.479571,0,0
48,57,0,0.489562,0,0
49,58,0,0.499553,0,0
50,59,0,0.509544,0,0
51,60,0,0.519535,0,0
52,61,0,0.529526,0,0
53,62,0,0.539517,0,0
54,63,0,0.549508,0,0
55,64,0,0.5595,0,0
56,65,0,0.569491,0,0
57,66,0,0.579482,0,0
58,67,0,0.589473,0,0
59,68,0,0.599464,0,0
60,69,0,0.609455,0,0
61,70,0,0.619446,0,0
62,71,0,0.629437,0,0
63,72,0,0.639428,0,0
64,73,0,0.649419,0,0
65,74,0,0.65941,0,0
66,75,0,0.669401,0,0
67,76,0,0.679392,0,0
68,77,0,0.689383,0,0
69,78,0,0.699374,0,0
70,79,0,0.709366,0,0
71,80,0,0.719357,0,0
72,81,0,0.729348,0,0
73,82,0,0.739339,0,0
74,83,0,0.74933,0,0
75,84,0,0.759321,0,0
76,85,0,0.769312,0,0
77,86,0,0.779303,0,0
78,87,0,0.789294,0,0
79,88,0,0.799285,0,0
80,89,0,0.809276,0,0
81,90,0,0.819267,0,0
82,91,0,0.829258,0,0
83,92,0,0.839249,0,0
84,93,0,0.84924,0,0
85,94,0,0.859231,0,0
86,95,0,0.869223,0,0
87,96,0,0.879214,0,0
88,97,0,0.889205,0,0
89,98,0,0.899196,0,0
90,99,0,0.909187,0,0
91,100,0,0.919178,0,0
92,101,0,0.929169,0,0
93,102,0,0.93916,0,0
94,103,0,0.949151,0,0
95,104,0,0.959142,0,0
96,105,0,0.969133,0,0
97,106,0,0.979124,0,0
98,107,0,0.989115,0,0
99,108,0,0.999106,0,0
100,109,0,1.0091,0,0
101,110,0,1.01909,0,0
102,111,0,1.02908,0,0
103,112,0,1.03907,0,0
104,113,0,1.04906,0,0
105,114,0,1.05905,0,0
106,115,0,1.06904,0,0
107,116,0,1.07903,0,0
108,117,0,1.08903,0,0
109,118,0,1.09902,0,0
110,119,0,1.10901,0,0
111,120,0,1.119,0,0
112,121,0,1.12899,0,0
113,122,0,1.13898,0,0
114,123,0,1.14897,0,0
115,124,0,1.15896,0,0
116,125,0,1.16895,0,0
117,126,0,1.17895,0,0
118,127,0,1.18894,0,0
119,128,0,1.19893,0,0
120,129,0,1.20892,0,0
121,130,0,1.21891,0,0
122,131,0,1.2289,0,0
123,132,0,1.23889,0,0
124,133,0,1.24888,0,0
125,134,0,1.25887,0,0
126,135,0,1.26887,0,0
127,136,0,1.27886,0,0
128,137,0,1.28885,0,0
129,138,0,1.29884,0,0
130,139,0,1.30883,0,0
131,140,0,1.31882,0,0
132,141,0,1.32881,0,0
133,142,0,1.3388,0,0
134,143,0,1.34879,0,0
135,144,0,1.35878,0,0
136,145,0,1.36878,0,0
137,146,0,1.37877,0,0
138,147,0,1.38876,0,0
139,148,0,1.39875,0,0
140,149,0,1.40874,0,0
141,150,0,1.41873,6,0.00483517
142,151,0,1.42872,47,0.0378755
143,152,0,1.43871,86,0.069304
144,153,0,1.4487,125,0.100733
145,154,0,1.4587,163,0.131355
146,155,0,1.46869,201,0.161978
147,156,0,1.47868,238,0.191795
148,157,0,1.48867,275,0.221612
149,158,0,1.49866,310,0.249817
150,159,0,1.50865,348,0.28044
151,160,0,1.51864,384,0.309451
152,161,0,1.52863,419,0.337656
153,162,0,1.53862,453,0.365055
154,163,0,1.54861,487,0.392454
155,164,0,1.55861,524,0.422271
156,165,0,1.5686,557,0.448864
157,166,0,1.57859,588,0.473846
158,167,0,1.58858,624,0.502857
159,168,0,1.59857,655,0.527839
160,169,0,1.60856,690,0.556044
161,170,0,1.61855,722,0.581832
162,171,0,1.62854,753,0.606813
